962,2,1,1,2,2,0,2,25,3
2,782,45,30,23,74,1,2,2,39
8,55,680,44,124,62,4,9,7,7
1,63,33,767,14,100,6,1,1,14
4,49,106,36,763,28,6,0,2,6
4,48,46,10,19,866,0,0,4,3
6,36,61,59,57,11,748,2,10,10
41,16,19,2,5,11,0,755,30,121
76,7,15,3,5,3,0,3,877,11
24,45,34,6,0,12,1,9,23,846
